"","id","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"276","YMR258C",93,0,2355,"Q04847","0min",1,1,1,1,-1.66838655803056,-0.488375280329222
"277","YMR258C",93,0,2355,"Q04847","30min",1.26448146423832,1.67017583885674,2,2,1.01908109948734,1.78595876809296
"278","YMR258C",93,0,2355,"Q04847","60min",1.17444048308642,1.03526492384138,3,3,0.10415034850342,-0.368698902344182
"279","YMR258C",93,0,2355,"Q04847","90min",1.20048494651295,0.993092495437036,4,4,0.368795182188717,-0.511816848804715
"280","YMR258C",93,0,2355,"Q04847","120min",1.18154683661759,1.02101212570719,5,5,0.17635992785108,-0.417067736614844
"281","YMR275C",12,2,3368,"P48524","0min",1,1,1,3,0.762124824554197,0.159818899498224
"282","YMR275C",12,2,3368,"P48524","30min",0.903494179445632,1.14869835499704,2,4,-0.299047541955892,1.6038759917217
"283","YMR275C",12,2,3368,"P48524","60min",0.867948877482078,0.972654947412286,3,5,-0.689901606366763,-0.105737616761154
"284","YMR275C",12,2,3368,"P48524","90min",1.0491467355856,0.907519155317161,4,6,1.30253945869783,-0.738292042359432
"285","YMR275C",12,2,3368,"P48524","120min",0.832861975174812,0.88884268116657,5,7,-1.07571513492937,-0.919665232099337
"286","YMR291W",169,0,3640,"Q03533","0min",1,1,1,1,-0.98701380464557,-0.896048271876179
"287","YMR291W",169,0,3640,"Q03533","30min",1.82052682035151,3.97236998174814,2,2,1.58296416843944,1.69376630275477
"288","YMR291W",169,0,3640,"Q03533","60min",1.38503799260764,2.04202425141439,3,3,0.218966469562414,0.0118634652234963
"289","YMR291W",169,0,3640,"Q03533","90min",1.10055375853941,1.58008262372675,4,4,-0.672068652156244,-0.390624504766891
"290","YMR291W",169,0,3640,"Q03533","120min",1.26952002784068,1.54756499354239,5,5,-0.142848181200043,-0.418956991335201
